Field_ID,Yield
E9UZCEA,4.884697500000001
1WGGS1Q,2.9566999999999983
EG2KXE2,3.5821225000000005
HC3GQXF,3.7972174999999986
7AK6GFK,3.826922499999999
QBM8DGN,4.082632499999997
1H0WQXK,5.0023849999999985
CWDN5MZ,4.125762499999998
PTAP92J,3.8996725
NTTFH97,3.6569224999999994
RK81RN2,3.981857499999998
O3RQ62W,4.198435
VKW2QWW,3.8340700000000005
3FCYE8T,4.113782499999999
8RYV3CK,4.0132975
3NKC1DP,3.8423724999999997
R8WPNYX,4.017822499999999
TOZJ2IG,3.7952499999999993
CNLULR7,3.9822849999999983
ELZR4UM,4.412439999999999
VIZYKBL,3.9510824999999983
LZIDLI2,3.5398449999999992
B9L85Z0,4.204092499999998
O0U8D1M,3.5083149999999987
3VBIK52,3.807414999999998
2JFB39B,3.813499999999999
JFCSJF4,4.487333749999999
BO8JXPC,4.526892499999997
6SDAQZQ,3.9679324999999994
NGD88T2,3.853884999999999
FT8LFH4,3.8410008333333328
MZOCECZ,4.0165875
55GG5NQ,4.156219999999999
QKO0BV6,4.482199999999999
DRQAXC4,3.7341833333333314
M4SFYB7,3.8248599999999993
ENQBR9B,3.7097925000000007
P6ECOKQ,4.689769999999998
JJREPX0,2.6701375
DN2B2XP,2.8982550000000016
DJL98FI,2.5672825
OX0Q82K,2.7598075
TFXIDLZ,3.0958275000000004
ZGMQJ7K,2.3378275000000004
E82R8PJ,2.5487125000000006
OYC8M3P,3.544375000000001
JAH5WXF,2.4946525000000004
DL6AML6,2.71336
GYZLLDT,3.121857499999999
TVFO9CM,2.5660408333333327
7E6RO6I,2.5535425000000007
0P7W1P8,2.6150500000000005
D52SYLW,2.6828699999999994
QWRRKBR,2.499885
OH4ESIV,3.31318
1K2VIHV,3.1881425000000005
JXAD8LJ,2.9384174999999995
XAJ1NTU,4.17617
77GE28L,3.9658249999999993
EYDZYMV,4.201655000000001
5SRUT7Y,4.215509999999997
CCMTCVJ,3.634289999999999
45HDPQG,4.328634999999999
HWOVS2Y,3.9290024999999984
LG9FBFW,3.918955000000001
8NAOQY3,4.187925000000001
6QBUG02,3.9423200000000014
TM7L926,3.3855375000000008
HIE84ES,3.8452075000000003
4E31KLF,3.7022374999999994
69DLWQ1,3.7755825
O1ZGG6P,3.7658075
G8XP7YG,3.9903250000000003
EP9TUM4,3.5195424999999996
5KQU3IV,4.661807499999998
YBA2QFE,4.277732499999999
GZ8RW7R,4.028022499999999
ZV8ZA85,4.459372500000001
VJ5AX0K,4.078232500000001
F4CTCKU,3.7259999999999995
9L7J242,3.9608649999999996
MF8FTFG,3.7710633333333328
1K2KCW1,4.356110000000001
12OWBF9,3.5559974999999997
4RVRAVC,3.356309999999998
DTWG1BJ,3.6181037499999977
PHX49B7,2.5705825
VN1CL1J,2.607512499999999
VJ3JHOH,3.2444800000000003
7VGPPSK,3.2915574999999997
DYMTI10,3.335852499999998
WZDG14H,3.709092500000001
LYR3N87,4.173944999999998
VPDCHQD,4.090133333333331
7SW7738,2.4623850000000003
6C5RZ3R,2.665604999999999
7PXDVI7,2.3844575000000003
P30Q0U3,3.5559674999999995
6U7AFUR,4.551405000000001
D65B66Q,3.5271824999999986
944SKD5,4.41747
UIBV8NA,3.5374549999999996
EID9JOD,3.1468774999999978
JDB3E5V,3.6153350000000004
VK9B5JY,3.7195549999999997
4I73A4Q,4.255857500000001
5KBNV28,5.222974999999999
ETOBRKO,4.3708550000000015
4DELPT6,3.650152499999999
CBY8XQ6,4.287865
A8HRGF6,3.4701774999999992
ZBTG13Z,3.7794099999999986
RHIFOHE,3.8567399999999994
CEYJV9U,3.2290574999999984
FBK12Y9,3.4410774999999996
